originID,grade,type,start_time,end_time,lasting_time,o_lat,o_lon,d_lat,d_lon,dist (km)
'842707763269634443',minor,CONGESTION,02/28/2022 23:48:57,03/01/2022 00:03:57,0:15:00,1.36653,103.8605,1.35806,103.85752,0.9935525609225948
'194971187543418319',minor,CONGESTION,02/28/2022 23:49:57,03/01/2022 00:19:57,0:30:00,1.39797,103.77379,1.40644,103.77234,0.950369210525685
'1592527239693618106',minor,CONGESTION,02/28/2022 23:53:27,03/01/2022 00:08:27,0:15:00,1.322,103.70296,1.3223,103.69993,0.33883657627684866
'1428381903381870566',minor,CONGESTION,02/28/2022 23:52:27,03/01/2022 00:07:27,0:15:00,1.35925,103.7017,1.35692,103.69964,0.34487039974079065
'1148949483551280435',minor,CONGESTION,02/28/2022 23:52:57,03/01/2022 00:07:57,0:15:00,1.32305,103.87347,1.31749,103.8751,0.6410003509731552
'3022695211920723680',minor,CONGESTION,02/28/2022 23:53:31,03/01/2022 00:07:32,0:14:01,1.27857,103.8235,1.2784,103.82396,0.05453632753928168
'1605997261631285886',minor,CONGESTION,02/28/2022 23:52:31,03/01/2022 00:15:32,0:23:01,1.33564,103.86225,1.34371,103.86039,0.916033634514939
'1919354731886250009',minor,CONGESTION,02/28/2022 23:55:27,03/01/2022 00:10:27,0:15:00,1.322,103.70296,1.3223,103.69993,0.33883657627684866
'1519624986966280640',minor,CONGESTION,02/28/2022 23:54:57,03/01/2022 00:09:57,0:15:00,1.33874,103.86205,1.32961,103.86243,1.010434010676779
'2009940260307235830',minor,CONGESTION,02/28/2022 23:56:36,03/01/2022 00:11:32,0:14:56,1.39798,103.77379,1.39648,103.77382,0.16589600146114902
'4677753129334906520',minor,CONGESTION,02/28/2022 23:56:57,03/01/2022 00:11:57,0:15:00,1.42404,103.77469,1.42199,103.77296,0.2974030984980084
'3076464218524236315',minor,CONGESTION,02/28/2022 23:53:31,03/01/2022 00:11:32,0:18:01,1.2774,103.82629,1.27802,103.82476,0.1835596708537457
'1697789418753793076',minor,CONGESTION,02/28/2022 23:58:16,03/01/2022 00:11:32,0:13:16,1.27729,103.82591,1.27806,103.82462,0.16691511780568188
'4172172847273666158',minor,CONGESTION,02/28/2022 23:59:27,03/01/2022 00:14:27,0:15:00,1.32187,103.70436,1.3223,103.69993,0.49530240166254214
'2700382947868700823',minor,CONGESTION,03/01/2022 00:01:27,03/01/2022 00:16:27,0:15:00,1.41925,103.80028,1.4212,103.79728,0.397432630689748
'1990852807595566105',minor,CONGESTION,03/01/2022 00:01:27,03/01/2022 00:16:27,0:15:00,1.28757,103.79538,1.28571,103.79831,0.38552674133186526
'1905248602223560041',minor,CONGESTION,03/01/2022 00:01:27,03/01/2022 00:16:27,0:15:00,1.41217,103.80656,1.41679,103.80325,0.6298097112904445
'1211473729543426722',minor,CONGESTION,03/01/2022 00:02:57,03/01/2022 00:17:57,0:15:00,1.36199,103.85889,1.35806,103.85752,0.46052950373607615
'2064932155287673836',minor,CONGESTION,03/01/2022 00:03:34,03/01/2022 00:19:31,0:15:57,1.37063,103.94159,1.37037,103.94188,0.04322163673461808
'3021572618081543286',minor,CONGESTION,03/01/2022 00:05:27,03/01/2022 00:20:27,0:15:00,1.39525,103.90594,1.38768,103.91291,1.1411922401466805
'769135392800141031',minor,CONGESTION,02/28/2022 23:59:27,03/01/2022 00:14:27,0:15:00,1.32187,103.70436,1.3223,103.69993,0.49530240166254214
'291742625149220763',minor,CONGESTION,03/01/2022 00:04:27,03/01/2022 00:19:27,0:15:00,1.3608,103.70307,1.35692,103.69964,0.5742619690623343
'2004744484683980105',minor,CONGESTION,03/01/2022 00:08:57,03/01/2022 00:38:57,0:30:00,1.35126,103.85769,1.34714,103.85915,0.4836765537283775
'4002878851434112359',minor,CONGESTION,03/01/2022 00:09:27,03/01/2022 00:24:27,0:15:00,1.41894,103.80067,1.4212,103.79728,0.4525188071106177
'1018225839858900770',minor,CONGESTION,03/01/2022 00:10:16,03/01/2022 00:23:31,0:13:15,1.41741,103.80251,1.41741,103.80251,0.0
'154787626417200229',minor,CONGESTION,03/01/2022 00:10:27,03/01/2022 00:25:27,0:15:00,1.35892,103.71252,1.35717,103.71468,0.308591304893868
'1632998448572187792',minor,CONGESTION,03/01/2022 00:13:57,03/01/2022 00:28:57,0:15:00,1.39387,103.77391,1.40644,103.77234,1.4008654495126518
'3856327332711793480',minor,CONGESTION,03/01/2022 00:17:27,03/01/2022 00:47:27,0:30:00,1.41894,103.80067,1.4212,103.79728,0.4525188071106177
'3789663649975192375',minor,CONGESTION,03/01/2022 00:19:16,03/01/2022 00:33:32,0:14:16,1.41741,103.80251,1.41894,103.80067,0.2656138026343045
'4440090614718895504',minor,CONGESTION,03/01/2022 00:21:27,03/01/2022 00:36:27,0:15:00,1.32187,103.70436,1.3223,103.69993,0.49530240166254214
'337171265950023063',minor,CONGESTION,03/01/2022 00:22:57,03/01/2022 00:37:57,0:15:00,1.36167,103.85878,1.35806,103.85752,0.42308813946612783
