model,city,seed,depth,tod,#datapoints,#datapoints-train-sample-mean,#datapoints-test-sample-mean,np.mean(lr_object.scores_MSE),np.std(lr_object.scores_MSE),np.mean(lr_object.scores_QWK),np.std(lr_object.scores_QWK),num_splits
gradientboostingregressor,MexicoCity,135,1,6,"(178, 16)",119.0,59.0,10.224633085608778,0.31068482946654014,-0.004771146810045043,0.01055168054671797,7
ridge,NewYorkCity,125,1,6,"(114, 16)",76.0,38.0,5.972615194943645,8.881784197001252e-16,-0.015487397509869272,0.0,7
ridge,Capetown,105,1,6,"(536, 16)",359.0,177.0,0.7597369000917374,0.0,0.14492753623188404,0.0,7
randomforestregressor,Istanbul,135,1,6,"(257, 16)",172.0,85.0,1.0312131668568543,0.025782771236970266,0.05561290075700741,0.03674305969856004,7
randomforestregressor,London,125,1,6,"(204, 16)",136.0,68.0,7.223643112790705,0.28761634335208575,0.08829150872218834,0.028353304947226182,7
lasso,Singapore,85,1,6,"(2279, 16)",1526.0,753.0,2.0816789424071516,0.0,0.0,0.0,7
randomforestregressor,NewYorkCity,135,1,6,"(113, 16)",75.0,38.0,5.898060325531836,0.5609126310947945,0.14422292803014866,0.04497005649161972,7
lasso,MexicoCity,135,1,6,"(178, 16)",119.0,59.0,5.311470016517442,8.881784197001252e-16,0.0,0.0,7
gradientboostingregressor,Istanbul,135,1,6,"(257, 16)",172.0,85.0,1.0259041790721635,0.004907564254589452,0.02818166367898659,0.0018531221838904008,7
randomforestregressor,Capetown,115,1,6,"(528, 16)",353.0,175.0,0.8837005401075908,0.03178840886904427,0.09944120452764667,0.027778282084083637,7
gradientboostingregressor,London,125,1,6,"(204, 16)",136.0,68.0,9.494485783043574,0.5135932438205594,0.1033674156142061,0.009798067554934516,7
gradientboostingregressor,NewYorkCity,135,1,6,"(113, 16)",75.0,38.0,13.982196277487104,0.252008331362808,-0.010134837185635601,0.011041123759192998,7
linearregression,MexicoCity,135,1,6,"(178, 16)",119.0,59.0,6.946513022410747,0.0,0.122345585857497,0.0,7
lasso,Istanbul,135,1,6,"(257, 16)",172.0,85.0,0.9015287981823426,2.220446049250313e-16,0.0,0.0,7
lasso,London,125,1,6,"(204, 16)",136.0,68.0,5.744782540023961,0.0,0.0,0.0,7
