NID,PC,Description,Length,Linestring
22,15,Woodlands Ave 10,1.20765,"MULTILINESTRING ((103.80054 1.45677 0,103.80071 1.45682 0,103.80096 1.4569 0),(103.80096 1.4569 0,103.80121 1.45699 0,103.80152 1.45713 0,103.80179 1.45727 0,103.80206 1.45743 0,103.80234 1.45763 0,103.80252 1.45778 0),(103.80252 1.45778 0,103.80258 1.45783 0,103.80283 1.45806 0,103.80308 1.45831 0,103.80345 1.4587 0,103.80383 1.45911 0,103.80418 1.45948 0,103.8044 1.45971 0,103.8046 1.4599 0),(103.8046 1.4599 0,103.80481 1.46007 0,103.80506 1.46025 0),(103.80506 1.46025 0,103.8053 1.46039 0,103.80556 1.46053 0,103.80589 1.4607 0,103.80621 1.46086 0,103.80653 1.46102 0),(103.80653 1.46102 0,103.80657 1.46104 0),(103.80657 1.46104 0,103.80681 1.46116 0),(103.80681 1.46116 0,103.80789 1.46171 0,103.80852 1.46203 0),(103.80852 1.46203 0,103.80882 1.46218 0),(103.80882 1.46218 0,103.80945 1.4625 0),(103.80945 1.4625 0,103.80958 1.46257 0))"
23,2826,Sembawang Dr,0.8525,"MULTILINESTRING ((103.80958 1.46257 0,103.80974 1.46265 0),(103.80974 1.46265 0,103.80988 1.46272 0),(103.80988 1.46272 0,103.80997 1.46277 0),(103.80997 1.46277 0,103.81018 1.46288 0,103.81042 1.463 0),(103.81042 1.463 0,103.8108 1.46319 0,103.81127 1.46344 0,103.81169 1.46365 0,103.81211 1.46382 0),(103.81211 1.46382 0,103.81248 1.46393 0,103.81282 1.46401 0,103.81321 1.46407 0,103.81357 1.46409 0,103.81394 1.46409 0,103.81435 1.46406 0),(103.81435 1.46406 0,103.81442 1.46405 0),(103.81442 1.46405 0,103.81454 1.46403 0,103.81474 1.46399 0,103.81498 1.46394 0,103.81527 1.46386 0,103.81555 1.46376 0,103.81584 1.46364 0),(103.81584 1.46364 0,103.81608 1.46352 0),(103.81608 1.46352 0,103.81632 1.46339 0,103.81654 1.46325 0,103.81672 1.46313 0))"
24,16,Canberra Rd,0.82749,"MULTILINESTRING ((103.81672 1.46313 0,103.81699 1.46293 0,103.81731 1.46268 0,103.81799 1.46216 0),(103.81799 1.46216 0,103.81896 1.46143 0),(103.81896 1.46143 0,103.81919 1.46125 0,103.81948 1.46104 0),(103.81948 1.46104 0,103.81959 1.46096 0,103.8198 1.46081 0),(103.8198 1.46081 0,103.82036 1.46044 0,103.82088 1.46011 0),(103.82088 1.46011 0,103.82119 1.45992 0,103.82152 1.45973 0),(103.82152 1.45973 0,103.82206 1.45942 0),(103.82206 1.45942 0,103.82225 1.45931 0),(103.82225 1.45931 0,103.8224 1.45922 0),(103.8224 1.45922 0,103.82246 1.45919 0),(103.82246 1.45919 0,103.82262 1.4591 0),(103.82262 1.4591 0,103.82275 1.45903 0,103.82288 1.45896 0))"
25,17,Falkland Rd,0.47091,"MULTILINESTRING ((103.82288 1.45896 0,103.82301 1.45891 0,103.82314 1.45887 0),(103.82314 1.45887 0,103.82334 1.45883 0,103.82351 1.45881 0,103.82367 1.45881 0,103.82388 1.45882 0,103.82414 1.45886 0,103.82437 1.45892 0,103.82464 1.45901 0,103.82488 1.4591 0),(103.82488 1.4591 0,103.82526 1.45924 0,103.82544 1.4593 0),(103.82544 1.4593 0,103.82564 1.45937 0),(103.82564 1.45937 0,103.82581 1.45942 0),(103.82581 1.45942 0,103.82603 1.45948 0,103.82624 1.45953 0,103.82646 1.45956 0,103.82668 1.45958 0),(103.82668 1.45958 0,103.82684 1.45958 0,103.82698 1.45957 0))"
26,24,Nicoll Dr,0.02387,"MULTILINESTRING ((104.00003 1.38633 0,103.99998 1.3863 0),(103.99998 1.3863 0,103.99984 1.38623 0))"
27,23,Airport Cargo Rd,1.14604,"MULTILINESTRING ((103.99984 1.38623 0,103.99975 1.38613 0,103.99972 1.38603 0,103.99971 1.38591 0,103.99977 1.38575 0),(103.99977 1.38575 0,103.99981 1.38563 0,103.99982 1.38541 0),(103.99982 1.38541 0,103.99962 1.38501 0),(103.99962 1.38501 0,103.99953 1.38483 0),(103.99953 1.38483 0,103.99945 1.38466 0),(103.99945 1.38466 0,103.99944 1.38464 0),(103.99944 1.38464 0,103.99911 1.38389 0),(103.99911 1.38389 0,103.99841 1.3822 0),(103.99841 1.3822 0,103.99809 1.3815 0),(103.99809 1.3815 0,103.99786 1.38099 0),(103.99786 1.38099 0,103.99706 1.37916 0),(103.99706 1.37916 0,103.99693 1.37879 0),(103.99693 1.37879 0,103.99642 1.37754 0),(103.99642 1.37754 0,103.99621 1.37708 0),(103.99621 1.37708 0,103.99607 1.37671 0))"
28,21,Admiralty Rd W,0.04131,"MULTILINESTRING ((103.77916 1.45097 0,103.77902 1.45087 0,103.77886 1.45075 0))"
29,20,Riverside Rd,0.49124,"MULTILINESTRING ((103.77886 1.45075 0,103.77872 1.45063 0,103.77857 1.45049 0,103.77842 1.45031 0,103.77828 1.45012 0,103.77819 1.44998 0,103.7781 1.44982 0,103.77802 1.44963 0,103.77795 1.44944 0,103.77789 1.44924 0,103.77783 1.449 0),(103.77783 1.449 0,103.77761 1.44802 0),(103.77761 1.44802 0,103.77752 1.44759 0,103.77744 1.44719 0,103.77737 1.44686 0),(103.77737 1.44686 0,103.77736 1.44683 0),(103.77736 1.44683 0,103.77733 1.44669 0))"
30,19,Woodlands Centre Rd,1.09673,"MULTILINESTRING ((103.77733 1.44669 0,103.77717 1.44598 0),(103.77717 1.44598 0,103.7771 1.44565 0),(103.7771 1.44565 0,103.77702 1.44527 0),(103.77702 1.44527 0,103.7769 1.44473 0),(103.7769 1.44473 0,103.77689 1.4447 0),(103.77689 1.4447 0,103.77678 1.44421 0),(103.77678 1.44421 0,103.77673 1.44399 0,103.77668 1.44376 0,103.77662 1.44357 0,103.77655 1.44338 0),(103.77655 1.44338 0,103.77647 1.44321 0,103.77637 1.44303 0),(103.77637 1.44303 0,103.77629 1.44289 0),(103.77629 1.44289 0,103.77624 1.44282 0),(103.77624 1.44282 0,103.77617 1.44272 0,103.776 1.44252 0,103.77597 1.44249 0),(103.77597 1.44249 0,103.77582 1.44233 0,103.77576 1.44228 0),(103.77576 1.44228 0,103.77556 1.44211 0,103.77531 1.44192 0),(103.77531 1.44192 0,103.77528 1.4419 0,103.77506 1.44173 0,103.7749 1.44161 0,103.77478 1.44153 0),(103.77478 1.44153 0,103.77475 1.44151 0,103.77459 1.44141 0),(103.77459 1.44141 0,103.77443 1.44132 0,103.77428 1.44125 0,103.77412 1.44119 0,103.77395 1.44115 0),(103.77395 1.44115 0,103.7738 1.44113 0,103.77365 1.44112 0),(103.77365 1.44112 0,103.77339 1.44111 0),(103.77339 1.44111 0,103.7727 1.4411 0),(103.7727 1.4411 0,103.77185 1.44109 0),(103.77185 1.44109 0,103.77161 1.44109 0,103.7714 1.44108 0,103.77119 1.44107 0,103.77099 1.44106 0))"
31,23,Airport Cargo Rd,0.04377,"MULTILINESTRING ((103.99607 1.37671 0,103.99621 1.37708 0))"
