NID,PC,Description,Length,Linestring
2483,1590,Eng Neo Ave/Exit 22,1.1688,"MULTILINESTRING ((103.81305 1.3338 0,103.81281 1.33387 0,103.81262 1.33393 0),(103.81262 1.33393 0,103.81243 1.334 0,103.81226 1.33407 0),(103.81226 1.33407 0,103.81211 1.33414 0,103.81193 1.33423 0,103.81178 1.33432 0,103.81161 1.33443 0),(103.81161 1.33443 0,103.81138 1.33458 0,103.81118 1.33473 0,103.81096 1.33491 0,103.8104 1.33542 0,103.80983 1.33595 0),(103.80983 1.33595 0,103.80937 1.33639 0,103.80883 1.3369 0),(103.80883 1.3369 0,103.80838 1.3373 0),(103.80838 1.3373 0,103.80815 1.3375 0),(103.80815 1.3375 0,103.80768 1.33793 0),(103.80768 1.33793 0,103.8071 1.33846 0),(103.8071 1.33846 0,103.80674 1.33878 0),(103.80674 1.33878 0,103.80646 1.33904 0,103.8064 1.33909 0),(103.8064 1.33909 0,103.80618 1.33929 0),(103.80618 1.33929 0,103.80589 1.33957 0,103.80527 1.34011 0,103.80495 1.3404 0))"
2484,1591,BKE/Chantek Flyover/Bukit Timah Expy/Exit 24,1.84958,"MULTILINESTRING ((103.80495 1.3404 0,103.80462 1.34071 0,103.80433 1.34102 0),(103.80433 1.34102 0,103.80382 1.34155 0),(103.80382 1.34155 0,103.80258 1.34283 0),(103.80258 1.34283 0,103.80236 1.34306 0),(103.80236 1.34306 0,103.80222 1.34321 0),(103.80222 1.34321 0,103.80106 1.34444 0),(103.80106 1.34444 0,103.80032 1.34523 0,103.80002 1.34554 0),(103.80002 1.34554 0,103.79963 1.34595 0,103.79937 1.34623 0),(103.79937 1.34623 0,103.79907 1.34656 0,103.79862 1.34703 0),(103.79862 1.34703 0,103.79804 1.34757 0),(103.79804 1.34757 0,103.79779 1.3478 0),(103.79779 1.3478 0,103.79758 1.34799 0,103.79739 1.34814 0,103.79721 1.34826 0,103.79701 1.34839 0,103.79679 1.34853 0),(103.79679 1.34853 0,103.79648 1.3487 0,103.79623 1.34882 0,103.79604 1.3489 0,103.79585 1.34897 0,103.79564 1.34905 0,103.7954 1.34913 0,103.79514 1.34921 0,103.79486 1.34928 0,103.79459 1.34934 0,103.79431 1.34939 0,103.79401 1.34942 0),(103.79401 1.34942 0,103.7937 1.34944 0,103.79337 1.34945 0,103.79315 1.34945 0,103.79287 1.34943 0,103.79263 1.34941 0,103.79238 1.34938 0,103.79213 1.34933 0,103.79185 1.34926 0))"
2485,1592,Jalan Anak Bukit/Upp Bukit Timah Rd/Clementi Rd/Exit 26A/Exit 26B,2.51352,"MULTILINESTRING ((103.79185 1.34926 0,103.79172 1.34922 0,103.79162 1.34919 0,103.79141 1.34913 0),(103.79141 1.34913 0,103.79102 1.34899 0,103.79089 1.34894 0),(103.79089 1.34894 0,103.79065 1.34885 0,103.79034 1.3487 0,103.79009 1.34853 0),(103.79009 1.34853 0,103.78981 1.34829 0,103.78958 1.34802 0,103.78945 1.34784 0),(103.78945 1.34784 0,103.78928 1.34756 0,103.78911 1.34721 0,103.78882 1.34658 0,103.78855 1.346 0,103.78847 1.34583 0,103.78835 1.3456 0),(103.78835 1.3456 0,103.78828 1.34548 0,103.78808 1.34522 0,103.78786 1.34498 0,103.78768 1.34482 0,103.78748 1.34467 0,103.78729 1.34455 0,103.78703 1.34441 0),(103.78703 1.34441 0,103.78675 1.34428 0,103.78639 1.34413 0,103.78558 1.34379 0),(103.78558 1.34379 0,103.7853 1.34367 0),(103.7853 1.34367 0,103.7847 1.34341 0),(103.7847 1.34341 0,103.78404 1.34313 0),(103.78404 1.34313 0,103.78357 1.34294 0),(103.78357 1.34294 0,103.78316 1.34278 0),(103.78316 1.34278 0,103.7823 1.34244 0),(103.7823 1.34244 0,103.7818 1.34227 0,103.78159 1.3422 0),(103.78159 1.3422 0,103.78149 1.34216 0,103.78117 1.34206 0),(103.78117 1.34206 0,103.78097 1.34201 0),(103.78097 1.34201 0,103.7808 1.34196 0,103.7805 1.34187 0),(103.7805 1.34187 0,103.78027 1.3418 0,103.78013 1.34175 0,103.77998 1.34168 0,103.77979 1.34159 0,103.77959 1.34147 0),(103.77959 1.34147 0,103.77945 1.34136 0,103.77933 1.34125 0,103.77921 1.34113 0),(103.77921 1.34113 0,103.77914 1.34105 0,103.77907 1.34095 0,103.77896 1.34079 0,103.77891 1.34072 0,103.77884 1.34061 0,103.77875 1.34045 0,103.77866 1.34024 0,103.77863 1.34017 0),(103.77863 1.34017 0,103.7784 1.33966 0),(103.7784 1.33966 0,103.77822 1.33927 0),(103.77822 1.33927 0,103.77783 1.33839 0),(103.77783 1.33839 0,103.77772 1.33815 0,103.77769 1.33809 0,103.77766 1.33803 0,103.77753 1.33779 0),(103.77753 1.33779 0,103.77739 1.33753 0,103.77728 1.33734 0,103.77715 1.33716 0,103.77701 1.33699 0,103.77684 1.3368 0,103.77665 1.3366 0,103.77632 1.33631 0,103.77606 1.3361 0),(103.77606 1.3361 0,103.77575 1.33585 0),(103.77575 1.33585 0,103.77537 1.33556 0))"
2486,1593,Clementi Ave 6/Exit 27,1.43211,"MULTILINESTRING ((103.77537 1.33556 0,103.77502 1.3353 0),(103.77502 1.3353 0,103.77419 1.33474 0),(103.77419 1.33474 0,103.77372 1.33444 0,103.77338 1.33423 0,103.77322 1.33415 0),(103.77322 1.33415 0,103.77292 1.33399 0),(103.77292 1.33399 0,103.77226 1.3337 0,103.77153 1.33338 0,103.77055 1.33294 0),(103.77055 1.33294 0,103.77021 1.3328 0),(103.77021 1.3328 0,103.77006 1.33274 0,103.76972 1.33262 0),(103.76972 1.33262 0,103.76947 1.33254 0),(103.76947 1.33254 0,103.76929 1.33248 0),(103.76929 1.33248 0,103.76915 1.33244 0,103.76911 1.33243 0),(103.76911 1.33243 0,103.76881 1.33236 0,103.76836 1.33227 0),(103.76836 1.33227 0,103.76782 1.3322 0,103.76744 1.33217 0,103.76706 1.33217 0,103.76662 1.33219 0,103.76637 1.33221 0),(103.76637 1.33221 0,103.76616 1.33224 0,103.76583 1.3323 0,103.76557 1.33236 0,103.76529 1.33244 0,103.76494 1.33255 0,103.76467 1.33265 0),(103.76467 1.33265 0,103.76453 1.3327 0,103.76439 1.33276 0),(103.76439 1.33276 0,103.76424 1.33283 0),(103.76424 1.33283 0,103.76398 1.33296 0),(103.76398 1.33296 0,103.76367 1.33313 0),(103.76367 1.33313 0,103.76349 1.33324 0))"
2487,1594,Toh Tuck Ave/Exit 28,0.919,"MULTILINESTRING ((103.76349 1.33324 0,103.76278 1.33363 0),(103.76278 1.33363 0,103.76226 1.33393 0,103.76205 1.33404 0),(103.76205 1.33404 0,103.76183 1.33416 0,103.76133 1.33444 0),(103.76133 1.33444 0,103.76073 1.33477 0),(103.76073 1.33477 0,103.76008 1.33515 0),(103.76008 1.33515 0,103.75983 1.33528 0,103.75981 1.33529 0),(103.75981 1.33529 0,103.75978 1.33531 0,103.75972 1.33534 0,103.75966 1.33537 0,103.75961 1.3354 0,103.75941 1.33552 0),(103.75941 1.33552 0,103.75896 1.33578 0,103.75727 1.33673 0),(103.75727 1.33673 0,103.75682 1.33699 0,103.75628 1.33729 0))"
2488,1595,Toh Guan Rd/Exit 30,1.27336,"MULTILINESTRING ((103.75628 1.33729 0,103.7561 1.33739 0),(103.7561 1.33739 0,103.75552 1.33772 0),(103.75552 1.33772 0,103.75417 1.33849 0,103.75354 1.33885 0),(103.75354 1.33885 0,103.75268 1.33933 0),(103.75268 1.33933 0,103.75257 1.33939 0),(103.75257 1.33939 0,103.75141 1.34005 0),(103.75141 1.34005 0,103.75099 1.34029 0),(103.75099 1.34029 0,103.74956 1.3411 0),(103.74956 1.3411 0,103.74931 1.34124 0),(103.74931 1.34124 0,103.74883 1.34151 0),(103.74883 1.34151 0,103.74876 1.34155 0,103.74867 1.3416 0,103.74857 1.34166 0),(103.74857 1.34166 0,103.74743 1.34231 0,103.74662 1.34276 0,103.74631 1.34294 0))"
2489,1596,Jurong Town Hall Rd/Bukit Batok Rd/Exit 31,1.49198,"MULTILINESTRING ((103.74631 1.34294 0,103.74559 1.34335 0),(103.74559 1.34335 0,103.74541 1.34345 0,103.74535 1.34348 0,103.74527 1.34352 0),(103.74527 1.34352 0,103.74519 1.34357 0),(103.74519 1.34357 0,103.74499 1.34369 0),(103.74499 1.34369 0,103.74485 1.34377 0,103.74457 1.34392 0,103.74418 1.34412 0,103.74387 1.34427 0),(103.74387 1.34427 0,103.74362 1.34438 0,103.74322 1.34453 0,103.74276 1.34467 0,103.74229 1.34479 0),(103.74229 1.34479 0,103.7419 1.34486 0),(103.7419 1.34486 0,103.74151 1.34491 0,103.74094 1.34495 0,103.74074 1.34496 0),(103.74074 1.34496 0,103.74039 1.34498 0),(103.74039 1.34498 0,103.74022 1.34499 0),(103.74022 1.34499 0,103.74006 1.345 0),(103.74006 1.345 0,103.73988 1.34502 0),(103.73988 1.34502 0,103.73969 1.34504 0,103.73914 1.34515 0,103.73866 1.34527 0,103.73838 1.34537 0),(103.73838 1.34537 0,103.73815 1.34546 0),(103.73815 1.34546 0,103.7379 1.34557 0,103.73769 1.34568 0,103.73743 1.34582 0,103.73739 1.34584 0),(103.73739 1.34584 0,103.73736 1.34586 0,103.73728 1.34591 0,103.73721 1.34595 0,103.73712 1.34601 0,103.73684 1.3462 0,103.73659 1.3464 0,103.73635 1.3466 0),(103.73635 1.3466 0,103.73619 1.34675 0,103.73589 1.34705 0,103.73503 1.34796 0),(103.73503 1.34796 0,103.73453 1.34849 0))"
2490,1597,Jurong Canal Dr/Exit 32,1.09543,"MULTILINESTRING ((103.73453 1.34849 0,103.73417 1.34887 0),(103.73417 1.34887 0,103.73403 1.34902 0),(103.73403 1.34902 0,103.7338 1.34927 0),(103.7338 1.34927 0,103.7329 1.35021 0,103.73266 1.35046 0,103.73239 1.35072 0,103.73209 1.351 0,103.73175 1.35128 0,103.73139 1.35156 0),(103.73139 1.35156 0,103.73131 1.35162 0,103.73079 1.35197 0,103.7303 1.35227 0),(103.7303 1.35227 0,103.72988 1.35252 0),(103.72988 1.35252 0,103.72926 1.35289 0,103.72865 1.35325 0),(103.72865 1.35325 0,103.72837 1.35341 0),(103.72837 1.35341 0,103.7279 1.35368 0,103.7274 1.35396 0,103.72717 1.35408 0,103.72694 1.35419 0,103.72667 1.35431 0))"
2491,1598,Jurong West Ave 2/Exit 34,1.41195,"MULTILINESTRING ((103.72667 1.35431 0,103.72634 1.35445 0),(103.72634 1.35445 0,103.72593 1.35461 0,103.72547 1.35478 0,103.72508 1.3549 0,103.72463 1.35502 0,103.72456 1.35504 0,103.72445 1.35507 0),(103.72445 1.35507 0,103.72407 1.35515 0,103.72378 1.35521 0),(103.72378 1.35521 0,103.72319 1.35531 0,103.72305 1.35533 0),(103.72305 1.35533 0,103.72255 1.35538 0,103.72199 1.35541 0),(103.72199 1.35541 0,103.72138 1.35544 0),(103.72138 1.35544 0,103.72072 1.35548 0),(103.72072 1.35548 0,103.71926 1.35556 0),(103.71926 1.35556 0,103.71858 1.35562 0,103.71823 1.35567 0,103.71791 1.35574 0,103.7175 1.35585 0,103.71738 1.35589 0,103.71699 1.35603 0,103.71622 1.35635 0),(103.71622 1.35635 0,103.71523 1.35675 0,103.71484 1.35692 0),(103.71484 1.35692 0,103.71464 1.35701 0,103.71442 1.35712 0))"
2492,1599,KJE/Tengah Flyover/Kranji Expy/Exit 35,1.43826,"MULTILINESTRING ((103.71442 1.35712 0,103.71423 1.35723 0,103.71408 1.35732 0),(103.71408 1.35732 0,103.71388 1.35745 0),(103.71388 1.35745 0,103.71361 1.35766 0),(103.71361 1.35766 0,103.71308 1.35815 0,103.71254 1.35864 0),(103.71254 1.35864 0,103.71195 1.35915 0,103.7117 1.35939 0,103.71157 1.35952 0),(103.71157 1.35952 0,103.71136 1.35974 0,103.71103 1.36004 0,103.71062 1.3604 0),(103.71062 1.3604 0,103.71022 1.36076 0),(103.71022 1.36076 0,103.70991 1.36106 0,103.70956 1.36137 0),(103.70956 1.36137 0,103.70929 1.36162 0,103.70899 1.36187 0),(103.70899 1.36187 0,103.70883 1.36197 0,103.70872 1.36204 0),(103.70872 1.36204 0,103.7084 1.36222 0,103.70813 1.36235 0,103.70777 1.36248 0,103.70747 1.36257 0,103.70726 1.36261 0,103.70671 1.36266 0,103.70624 1.36264 0,103.70578 1.36257 0,103.70523 1.36241 0,103.70482 1.36224 0,103.70438 1.36198 0,103.70372 1.36151 0))"
2493,1600,Jalan Bahar/Exit 36,1.2926,"MULTILINESTRING ((103.70372 1.36151 0,103.7035 1.36126 0),(103.7035 1.36126 0,103.70328 1.36103 0,103.70307 1.3608 0),(103.70307 1.3608 0,103.70265 1.36031 0),(103.70265 1.36031 0,103.70216 1.35976 0,103.70169 1.35924 0),(103.70169 1.35924 0,103.70154 1.35907 0,103.70096 1.3584 0,103.69964 1.35692 0),(103.69964 1.35692 0,103.6993 1.35655 0,103.6989 1.3561 0),(103.6989 1.3561 0,103.6985 1.35565 0,103.69801 1.35511 0,103.69796 1.35505 0,103.69792 1.355 0,103.69788 1.35495 0,103.69783 1.35489 0,103.69764 1.35468 0,103.69749 1.3545 0),(103.69749 1.3545 0,103.69727 1.35422 0,103.69696 1.35383 0,103.69668 1.35346 0,103.69612 1.35268 0))"
2494,1601,Pioneer Rd/Exit 38,1.1979,"MULTILINESTRING ((103.69612 1.35268 0,103.69585 1.35231 0),(103.69585 1.35231 0,103.69573 1.35214 0,103.69569 1.35208 0),(103.69569 1.35208 0,103.6952 1.35136 0,103.69453 1.3504 0,103.69436 1.35017 0),(103.69436 1.35017 0,103.69407 1.34977 0),(103.69407 1.34977 0,103.69376 1.34935 0,103.69329 1.34877 0),(103.69329 1.34877 0,103.69288 1.34829 0,103.69256 1.34793 0),(103.69256 1.34793 0,103.69234 1.34769 0),(103.69234 1.34769 0,103.69185 1.34723 0),(103.69185 1.34723 0,103.69131 1.34671 0),(103.69131 1.34671 0,103.69089 1.34633 0,103.69064 1.3461 0,103.69059 1.34606 0,103.69054 1.34602 0,103.69049 1.34598 0,103.69042 1.34592 0,103.68987 1.34548 0),(103.68987 1.34548 0,103.68933 1.34505 0),(103.68933 1.34505 0,103.68914 1.3449 0,103.68891 1.34473 0))"
2495,1602,Upp Jurong Rd/Exit 40/Exit 41,2.64582,"MULTILINESTRING ((103.68891 1.34473 0,103.68856 1.34445 0,103.68828 1.34422 0),(103.68828 1.34422 0,103.68816 1.34413 0),(103.68816 1.34413 0,103.68797 1.34397 0,103.68717 1.34336 0),(103.68717 1.34336 0,103.68662 1.34293 0),(103.68662 1.34293 0,103.68634 1.34273 0),(103.68634 1.34273 0,103.68573 1.34225 0,103.68523 1.34187 0),(103.68523 1.34187 0,103.68493 1.34163 0,103.68482 1.34154 0),(103.68482 1.34154 0,103.68373 1.34069 0,103.68313 1.34023 0,103.68277 1.33998 0,103.68258 1.33986 0,103.68239 1.33976 0,103.68209 1.33963 0,103.68187 1.33956 0,103.68154 1.33946 0,103.6812 1.33941 0,103.68086 1.33939 0,103.68039 1.33939 0),(103.68039 1.33939 0,103.67992 1.3394 0,103.67958 1.33938 0,103.67927 1.33933 0,103.67896 1.33926 0,103.67865 1.33914 0,103.67838 1.339 0,103.67812 1.33882 0,103.67791 1.33863 0),(103.67791 1.33863 0,103.67772 1.33843 0),(103.67772 1.33843 0,103.67758 1.33822 0,103.67749 1.33808 0),(103.67749 1.33808 0,103.67742 1.33796 0,103.67735 1.3378 0,103.67716 1.33733 0,103.67698 1.33671 0,103.67665 1.33548 0),(103.67665 1.33548 0,103.6765 1.33497 0),(103.6765 1.33497 0,103.6763 1.3343 0),(103.6763 1.3343 0,103.67617 1.33385 0),(103.67617 1.33385 0,103.676 1.33326 0),(103.676 1.33326 0,103.67577 1.33247 0),(103.67577 1.33247 0,103.67565 1.33209 0,103.6755 1.33173 0,103.67529 1.3314 0,103.67505 1.3311 0,103.6749 1.33095 0),(103.6749 1.33095 0,103.67474 1.33081 0,103.6746 1.33071 0,103.67441 1.3306 0,103.67422 1.33051 0),(103.67422 1.33051 0,103.67401 1.33043 0,103.67378 1.33036 0,103.67352 1.3303 0,103.67324 1.33025 0,103.67293 1.3302 0,103.67252 1.33014 0))"
2496,1603,AYE/Tuas Flyover/Ayer Rajah Expy/Exit 41,1.32069,"MULTILINESTRING ((103.67252 1.33014 0,103.67229 1.33009 0,103.67211 1.33005 0,103.6719 1.32999 0,103.67174 1.32994 0),(103.67174 1.32994 0,103.6716 1.32989 0,103.67122 1.32973 0,103.67083 1.32954 0),(103.67083 1.32954 0,103.67008 1.32914 0,103.66928 1.32871 0,103.66847 1.32826 0),(103.66847 1.32826 0,103.66811 1.32806 0,103.66783 1.3279 0),(103.66783 1.3279 0,103.6676 1.32776 0,103.66732 1.32757 0),(103.66732 1.32757 0,103.66708 1.32739 0,103.66693 1.32726 0,103.66679 1.32714 0,103.66663 1.32699 0),(103.66663 1.32699 0,103.6664 1.32674 0),(103.6664 1.32674 0,103.66617 1.32648 0),(103.66617 1.32648 0,103.6661 1.3264 0),(103.6661 1.3264 0,103.66602 1.3263 0),(103.66602 1.3263 0,103.66597 1.32623 0),(103.66597 1.32623 0,103.66577 1.326 0,103.66554 1.3257 0,103.66537 1.32547 0,103.66512 1.32512 0,103.6648 1.32467 0),(103.6648 1.32467 0,103.66427 1.32389 0,103.6638 1.3232 0),(103.6638 1.3232 0,103.66371 1.32306 0),(103.66371 1.32306 0,103.66356 1.32284 0))"
2497,1675,Orchard Rd,0.03271,"MULTILINESTRING ((103.84746 1.29833 0,103.84739 1.29831 0,103.84731 1.29828 0,103.84725 1.29824 0,103.8472 1.2982 0))"
2498,1676,Clemenceau Ave/Penang Ln,0.32243,"MULTILINESTRING ((103.8472 1.2982 0,103.84709 1.2981 0,103.84701 1.29803 0),(103.84701 1.29803 0,103.84696 1.29799 0,103.84688 1.29795 0),(103.84688 1.29795 0,103.8468 1.29792 0,103.84672 1.2979 0,103.84662 1.29789 0,103.84654 1.2979 0,103.84643 1.29793 0),(103.84643 1.29793 0,103.8463 1.29797 0,103.84618 1.298 0),(103.84618 1.298 0,103.84602 1.29803 0,103.84581 1.29807 0),(103.84581 1.29807 0,103.8456 1.29815 0),(103.8456 1.29815 0,103.84557 1.29816 0),(103.84557 1.29816 0,103.8454 1.29822 0),(103.8454 1.29822 0,103.84514 1.2983 0,103.84502 1.29834 0),(103.84502 1.29834 0,103.84476 1.29842 0),(103.84476 1.29842 0,103.84449 1.29851 0))"
2499,1677,Buyong Rd,0.20342,"MULTILINESTRING ((103.84449 1.29851 0,103.84432 1.29857 0),(103.84432 1.29857 0,103.84418 1.29863 0),(103.84418 1.29863 0,103.84407 1.29868 0),(103.84407 1.29868 0,103.84401 1.29871 0),(103.84401 1.29871 0,103.84376 1.29883 0),(103.84376 1.29883 0,103.84365 1.29889 0),(103.84365 1.29889 0,103.84347 1.299 0),(103.84347 1.299 0,103.84323 1.29915 0),(103.84323 1.29915 0,103.84306 1.29926 0),(103.84306 1.29926 0,103.84288 1.29937 0))"
2500,1678,Killiney Rd,0.30122,"MULTILINESTRING ((103.84288 1.29937 0,103.84275 1.29944 0),(103.84275 1.29944 0,103.84261 1.29951 0),(103.84261 1.29951 0,103.8425 1.29956 0),(103.8425 1.29956 0,103.84241 1.2996 0,103.8423 1.29964 0,103.84217 1.29967 0),(103.84217 1.29967 0,103.84189 1.29973 0),(103.84189 1.29973 0,103.84165 1.29978 0),(103.84165 1.29978 0,103.8416 1.29979 0),(103.8416 1.29979 0,103.84126 1.29986 0),(103.84126 1.29986 0,103.84098 1.29992 0),(103.84098 1.29992 0,103.84067 1.29999 0),(103.84067 1.29999 0,103.84037 1.30006 0,103.84034 1.30007 0),(103.84034 1.30007 0,103.84028 1.30008 0))"
2501,1673,Geylang Rd,0.04534,"MULTILINESTRING ((103.89209 1.31509 0,103.89218 1.31549 0))"
2502,1672,Sims Ave,0.15607,"MULTILINESTRING ((103.89218 1.31549 0,103.89223 1.31569 0),(103.89223 1.31569 0,103.89227 1.31586 0),(103.89227 1.31586 0,103.89231 1.31604 0,103.89232 1.31623 0),(103.89232 1.31623 0,103.89231 1.31643 0,103.89229 1.31659 0,103.89227 1.31671 0),(103.89227 1.31671 0,103.89224 1.31688 0))"
2503,1671,Geylang East Central,0.38292,"MULTILINESTRING ((103.89224 1.31688 0,103.89219 1.31708 0),(103.89219 1.31708 0,103.89203 1.31774 0),(103.89203 1.31774 0,103.89202 1.31778 0),(103.89202 1.31778 0,103.892 1.31786 0),(103.892 1.31786 0,103.89197 1.318 0),(103.89197 1.318 0,103.89191 1.3183 0),(103.89191 1.3183 0,103.89181 1.31877 0),(103.89181 1.31877 0,103.89168 1.31932 0),(103.89168 1.31932 0,103.89164 1.3195 0),(103.89164 1.3195 0,103.89155 1.31985 0),(103.89155 1.31985 0,103.89154 1.3199 0),(103.89154 1.3199 0,103.89151 1.32001 0),(103.89151 1.32001 0,103.89145 1.32025 0))"
2504,1670,PIE/Pan Island Expy,0.38342,"MULTILINESTRING ((103.89145 1.32025 0,103.8914 1.32047 0),(103.8914 1.32047 0,103.89135 1.32068 0),(103.89135 1.32068 0,103.89123 1.32117 0),(103.89123 1.32117 0,103.89117 1.32144 0),(103.89117 1.32144 0,103.89113 1.32161 0),(103.89113 1.32161 0,103.89105 1.32196 0),(103.89105 1.32196 0,103.89101 1.32216 0),(103.89101 1.32216 0,103.89097 1.32238 0),(103.89097 1.32238 0,103.89096 1.32244 0),(103.89096 1.32244 0,103.8909 1.32276 0),(103.8909 1.32276 0,103.89088 1.32286 0,103.89087 1.32291 0),(103.89087 1.32291 0,103.89086 1.32297 0,103.89083 1.3231 0),(103.89083 1.3231 0,103.89073 1.32364 0))"
2505,1669,Ubi Ave 2,0.42638,"MULTILINESTRING ((103.89073 1.32364 0,103.89064 1.32415 0),(103.89064 1.32415 0,103.8906 1.32441 0,103.89058 1.32454 0),(103.89058 1.32454 0,103.89052 1.32491 0),(103.89052 1.32491 0,103.89045 1.32531 0),(103.89045 1.32531 0,103.8904 1.32555 0),(103.8904 1.32555 0,103.89036 1.32575 0),(103.89036 1.32575 0,103.89032 1.32594 0),(103.89032 1.32594 0,103.89026 1.32624 0),(103.89026 1.32624 0,103.89022 1.32644 0),(103.89022 1.32644 0,103.89021 1.32649 0),(103.89021 1.32649 0,103.8902 1.32657 0),(103.8902 1.32657 0,103.89017 1.32669 0,103.89015 1.32677 0),(103.89015 1.32677 0,103.89011 1.32696 0),(103.89011 1.32696 0,103.89003 1.32743 0))"
2506,1668,Airport Rd/Macpherson Rd,0.7307,"MULTILINESTRING ((103.89003 1.32743 0,103.88997 1.32775 0),(103.88997 1.32775 0,103.88995 1.32787 0),(103.88995 1.32787 0,103.88989 1.32819 0),(103.88989 1.32819 0,103.88982 1.32858 0),(103.88982 1.32858 0,103.88976 1.32887 0),(103.88976 1.32887 0,103.88962 1.32956 0),(103.88962 1.32956 0,103.88949 1.33023 0),(103.88949 1.33023 0,103.88932 1.33109 0),(103.88932 1.33109 0,103.88927 1.33132 0,103.88924 1.33148 0,103.88921 1.33163 0,103.8892 1.33169 0),(103.8892 1.33169 0,103.88914 1.33203 0,103.88912 1.33217 0),(103.88912 1.33217 0,103.88908 1.3324 0),(103.88908 1.3324 0,103.88906 1.33251 0,103.88904 1.33262 0),(103.88904 1.33262 0,103.889 1.33283 0),(103.889 1.33283 0,103.889 1.33286 0),(103.889 1.33286 0,103.88897 1.33305 0),(103.88897 1.33305 0,103.88895 1.33316 0,103.88891 1.33339 0),(103.88891 1.33339 0,103.88889 1.33348 0),(103.88889 1.33348 0,103.88886 1.33363 0),(103.88886 1.33363 0,103.8888 1.33392 0))"
2507,1668,Airport Rd/Macpherson Rd,0.08135,"MULTILINESTRING ((103.88895 1.33397 0,103.889 1.3337 0),(103.889 1.3337 0,103.88901 1.33367 0),(103.88901 1.33367 0,103.88904 1.33352 0),(103.88904 1.33352 0,103.88906 1.33342 0),(103.88906 1.33342 0,103.8891 1.33325 0))"
2508,1669,Ubi Ave 2,0.79712,"MULTILINESTRING ((103.8891 1.33325 0,103.88913 1.3331 0,103.88916 1.33294 0),(103.88916 1.33294 0,103.88916 1.33292 0,103.88921 1.33264 0),(103.88921 1.33264 0,103.88929 1.3322 0),(103.88929 1.3322 0,103.88933 1.33195 0,103.88938 1.33169 0),(103.88938 1.33169 0,103.88949 1.33111 0),(103.88949 1.33111 0,103.88956 1.33074 0,103.88961 1.33045 0,103.88964 1.33029 0),(103.88964 1.33029 0,103.88965 1.33026 0),(103.88965 1.33026 0,103.88977 1.32968 0),(103.88977 1.32968 0,103.88987 1.3292 0),(103.88987 1.3292 0,103.88994 1.32885 0),(103.88994 1.32885 0,103.88999 1.32862 0),(103.88999 1.32862 0,103.89004 1.3284 0),(103.89004 1.3284 0,103.89008 1.32822 0),(103.89008 1.32822 0,103.89011 1.32804 0,103.89015 1.32781 0),(103.89015 1.32781 0,103.8902 1.3275 0),(103.8902 1.3275 0,103.89024 1.32725 0),(103.89024 1.32725 0,103.89029 1.32695 0),(103.89029 1.32695 0,103.89031 1.32685 0),(103.89031 1.32685 0,103.89034 1.32668 0,103.89035 1.32662 0),(103.89035 1.32662 0,103.89036 1.32655 0,103.89037 1.32649 0),(103.89037 1.32649 0,103.89041 1.32632 0,103.89044 1.32617 0))"
2509,1670,PIE/Pan Island Expy,0.43582,"MULTILINESTRING ((103.89044 1.32617 0,103.89054 1.32572 0),(103.89054 1.32572 0,103.89058 1.32552 0),(103.89058 1.32552 0,103.89063 1.32525 0),(103.89063 1.32525 0,103.89069 1.32494 0),(103.89069 1.32494 0,103.89075 1.32459 0),(103.89075 1.32459 0,103.89082 1.32422 0),(103.89082 1.32422 0,103.89087 1.32393 0),(103.89087 1.32393 0,103.89091 1.32372 0),(103.89091 1.32372 0,103.89102 1.32313 0),(103.89102 1.32313 0,103.89104 1.32301 0,103.89105 1.32295 0),(103.89105 1.32295 0,103.89106 1.3229 0,103.89107 1.32285 0),(103.89107 1.32285 0,103.89108 1.3228 0),(103.89108 1.3228 0,103.89116 1.3224 0),(103.89116 1.3224 0,103.89118 1.3223 0))"
2510,1671,Geylang East Central,0.29925,"MULTILINESTRING ((103.89118 1.3223 0,103.89124 1.322 0),(103.89124 1.322 0,103.89127 1.32184 0,103.8913 1.32171 0),(103.8913 1.32171 0,103.89133 1.32155 0,103.89138 1.32132 0),(103.89138 1.32132 0,103.89144 1.32105 0),(103.89144 1.32105 0,103.89149 1.32083 0),(103.89149 1.32083 0,103.89158 1.32047 0),(103.89158 1.32047 0,103.89162 1.32029 0),(103.89162 1.32029 0,103.89168 1.32003 0),(103.89168 1.32003 0,103.89169 1.32 0),(103.89169 1.32 0,103.89177 1.31966 0))"
2511,1672,Sims Ave,0.31283,"MULTILINESTRING ((103.89177 1.31966 0,103.89181 1.31949 0),(103.89181 1.31949 0,103.89189 1.31916 0,103.89193 1.31898 0,103.89198 1.31873 0,103.89206 1.31828 0),(103.89206 1.31828 0,103.8921 1.31804 0),(103.8921 1.31804 0,103.89213 1.31788 0),(103.89213 1.31788 0,103.89216 1.31775 0),(103.89216 1.31775 0,103.89221 1.31756 0,103.89225 1.31742 0,103.89229 1.31727 0),(103.89229 1.31727 0,103.89233 1.31712 0),(103.89233 1.31712 0,103.89237 1.31694 0),(103.89237 1.31694 0,103.89238 1.3169 0))"
