NID,PC,DE,LE,TY,FF
229,278,Turgut Özal Bulvarı,0.29942,TR,27.1
230,281,Yanyol Caddesi/Gürpınar Kavşağı,0.03849,TR,50.0
231,282,Gürpınar Yolu Caddesi,0.25834,TR,46.2
232,288,Atatürk Caddesi,0.02752,TR,24.0
233,287,Gürgen Sokak,0.12244,TR,27.0
234,278,Turgut Özal Bulvarı,0.07019,TR,31.0
235,279,Yanyol Caddesi,0.53344,TR,28.0
236,284,Gürpınar Yolu Caddesi,0.10417,TR,20.0
237,285,Yıldıray Çınar Sokak,0.23525,TR,20.0
238,287,Gürgen Sokak,0.0587,TR,25.0
239,288,Atatürk Caddesi,0.09126,TR,21.9
240,291,Ersin Sokak,0.08099,TR,23.0
241,290,Dalyan Caddesi,0.23467,TR,22.6
242,290,Dalyan Caddesi,0.03044,TR,29.4
243,291,Ersin Sokak,0.28643,TR,21.9
244,298,Atatürk Caddesi/Cengiz Topel Caddesi,0.01773,TR,20.0
245,297,Dalyan Caddesi,0.93511,TR,28.7
246,301,Piri Reis Caddesi/Atatürk Caddesi,0.0394,TR,23.0
247,300,Pekmez Caddesi/Adnan Menderes Caddesi,0.61643,TR,28.1
248,297,Dalyan Caddesi,0.04508,TR,27.0
249,298,Atatürk Caddesi/Cengiz Topel Caddesi,0.90776,TR,28.3
250,293,Pekmez Caddesi,0.03547,TR,15.0
251,294,Piri Reis Caddesi,1.5657,TR,34.7
252,295,Gürgen Sokak,1.03846,TR,32.6
253,295,Gürgen Sokak,0.02924,TR,21.8
254,294,Piri Reis Caddesi,1.02139,TR,29.7
255,293,Pekmez Caddesi,1.60117,TR,32.5
256,300,Pekmez Caddesi/Adnan Menderes Caddesi,0.02246,TR,26.0
257,301,Piri Reis Caddesi/Atatürk Caddesi,0.63337,TR,30.1
258,307,Adnan Menderes Caddesi/Pekmez Caddesi,0.02456,TR,29.0
259,306,Nur Sokak,0.73458,TR,35.6
260,306,Nur Sokak,0.04443,TR,39.0
261,307,Adnan Menderes Caddesi/Pekmez Caddesi,0.7137,TR,32.8
262,303,Dalyan Caddesi,0.0378,TR,19.0
263,304,Cengiz Topel Caddesi/Galip Esmer Caddesi,1.3316,TR,32.6
264,304,Cengiz Topel Caddesi/Galip Esmer Caddesi,0.03431,TR,25.0
265,303,Dalyan Caddesi,1.33508,TR,32.9
266,310,Nur Sokak,0.06117,TR,44.0
267,309,Ömer Seyfettin Caddesi,0.82379,TR,44.9
268,313,Dede Korkut Caddesi,0.03061,TR,38.0
269,312,Hasan Tahsin Caddesi/Ulubatli Hasan Caddesi,0.21649,TR,43.3
270,309,Ömer Seyfettin Caddesi,0.02851,TR,30.0
271,310,Nur Sokak,0.85572,TR,36.4
272,312,Hasan Tahsin Caddesi/Ulubatli Hasan Caddesi,0.02641,TR,39.0
273,313,Dede Korkut Caddesi,0.2207,TR,39.0
274,315,Galip Esmer Caddesi/Cengiz Topel Caddesi,0.36382,TR,31.5
275,322,Girne Caddesi,0.03189,TR,39.0
276,321,Demet Sokak,0.30296,TR,30.0
277,318,Adnan Menderes Caddesi,0.01028,TR,30.0
278,319,Asu Sokak,0.28597,TR,26.3
279,315,Galip Esmer Caddesi/Cengiz Topel Caddesi,0.02103,TR,27.0
280,316,Atatürk 4. Caddesi,0.6728,TR,32.5
281,321,Demet Sokak,0.06074,TR,25.0
282,322,Girne Caddesi,0.27412,TR,35.3
283,327,Asu Sokak,0.0411,TR,23.0
284,328,İnönü Caddesi,0.03614,TR,22.4
285,325,Mümin Ağa Sokak/Cami Sokak,0.0356,TR,26.0
286,324,Girne Caddesi,0.15155,TR,32.3
287,324,Girne Caddesi,0.04918,TR,29.0
288,325,Mümin Ağa Sokak/Cami Sokak,0.13796,TR,25.5
289,331,Çiçek Sokak,0.08559,TR,23.0
290,330,Moda Caddesi,1.66085,TR,35.3
291,334,Moda Caddesi,0.09127,TR,50.0
292,333,Ziya Gökalp Caddesi,1.66606,TR,47.9
293,330,Moda Caddesi,0.06027,TR,48.0
294,331,Çiçek Sokak,1.68616,TR,30.5
295,333,Ziya Gökalp Caddesi,0.04263,TR,34.0
296,334,Moda Caddesi,1.71471,TR,46.4
297,342,Şehit Celal Madendere Caddesi,0.07317,TR,27.0
298,341,Atatürk 4. Caddesi,0.27415,TR,30.9
299,339,İnönü Caddesi,0.01955,TR,29.0
300,338,Sultan Fatih Caddesi,0.19544,TR,34.6
301,337,Karacaoğlan Caddesi,0.31605,TR,24.5
302,336,Hasan Tahsin Caddesi,0.58779,TR,30.0
303,341,Atatürk 4. Caddesi,0.03336,TR,27.0
304,342,Şehit Celal Madendere Caddesi,0.31396,TR,28.0
305,336,Hasan Tahsin Caddesi,0.082,TR,44.5
306,337,Karacaoğlan Caddesi,0.50578,TR,45.8
