NID,PC,DE,LE,TY,FF
3200,2184,PIE/Pan Island Expy/Exit 3A/Exit 3B,0.1136,TR,58.9
3201,2183,Tampines Ave 2,0.25442,TR,35.7
3202,2183,Tampines Ave 2,0.01911,TR,31.1
3203,2184,PIE/Pan Island Expy/Exit 3A/Exit 3B,0.35275,TR,51.7
3204,2181,Tampines Ave 10,0.01596,TR,25.0
3205,2180,Buangkok East Dr,3.46315,TR,48.8
3206,2179,KPE/Kallang Paya Lebar Expy/Defu Flyover,1.4859,TR,46.4
3207,2178,Hougang Ave 7/Defu Ave 1,1.02452,TR,52.3
3208,2177,Hougang Ave 3,0.26227,TR,29.0
3209,2176,Upper Serangoon Rd,0.76925,TR,35.7
3210,2161,CTE/Seletar West Link/Central Expy/Exit 14/Exit 1B/Exit 1,1.04048,TR,50.0
3211,2162,Jalan Kayu/Exit 12,1.7292,TR,85.2
3212,2163,Punggol Way/Sengkang East Rd/Exit 10,1.87245,TR,84.9
3213,2164,Punggol Rd/Exit 9,1.60671,TR,82.4
3214,2165,KPE/Kallang Paya Lebar Expy/Exit 6/Exit 7,2.32698,TR,81.2
3215,2166,Pasir Ris Dr 12/Tampines Ave 10/Exit 5,1.83653,TR,83.3
3216,2167,Elias Rd/Tampines Link/Exit 4,0.73253,TR,81.6
3217,2168,Pasir Ris Dr 8/Tampines Ave 12/Exit 3A/Exit 3C,0.90546,TR,81.7
3218,2169,Loyang Ave/Tampines Ave 7/Exit 2,2.00753,TR,79.4
3219,2170,Upp Changi Rd,0.55709,TR,71.7
3220,2171,PIE/Pan Island Expy,0.78543,TR,82.4
3221,2189,Changi Naval Base,0.02982,TR,33.0
3222,2188,Changi East Dr,1.91896,TR,55.3
3223,2187,Tanah Merah Ferry Rd,1.20101,TR,52.9
3224,2186,Changi Coast Rd,0.88024,TR,59.2
3225,2176,Upper Serangoon Rd,0.05503,TR,30.8
3226,2177,Hougang Ave 3,0.76626,TR,34.0
3227,2178,Hougang Ave 7/Defu Ave 1,0.22194,TR,31.5
3228,2179,KPE/Kallang Paya Lebar Expy/Defu Flyover,1.20637,TR,51.9
3229,2180,Buangkok East Dr,1.34012,TR,56.2
3230,2181,Tampines Ave 10,3.4123,TR,41.6
3231,2192,Maxwell Rd,0.03433,TR,37.0
3232,2191,AYE/Keppel Rd/Ayer Rajah Expy,0.8271,TR,28.5
3233,2171,PIE/Pan Island Expy,0.52309,TR,60.9
