NID,PC,DE,LE,TY,FF
2016,5209,Circuito Interior/C Melchor Ocampo,0.01042,TR,29.83
2017,5208,Av Ejército Nacional,0.22892,TR,30.57
2018,5207,C Thiers Eje Tres Poniente,0.20389,TR,20.51
2019,5206,Calz Gral Mariano Escobedo,0.24595,TR,17.83
2020,5203,Piramide/C Pirámide,0.06743,TR,15.29
2021,5204,C Ferrocarriles Nacionales,0.37251,TR,14.42
2022,5205,Calz de la Naranja,0.13843,TR,15.41
2023,5206,Calz Gral Mariano Escobedo,0.00526,TR,19.88
2024,5207,C Thiers Eje Tres Poniente,0.24585,TR,20.32
2025,5208,Av Ejército Nacional,0.2526,TR,23.86
2026,5209,Circuito Interior/C Melchor Ocampo,0.11458,TR,17.58
2027,5217,Correo Mayor,0.03067,TR,22.37
2028,5216,C Veinte de Noviembre,0.15567,TR,19.14
2029,5215,Eje Central (Lazaro Cardenas),0.51158,TR,22.25
2030,5220,Av Texcoco,0.00699,TR,18.02
2031,5218,Calz Ignacio Zaragoza,0.30208,TR,21.06
2032,5214,Calz Gral Mariano Escobedo,0.01117,TR,21.75
2033,5213,C Arquimides,0.59404,TR,18.83
2034,5212,C de Alfredo de Musset,0.39295,TR,21.56
2035,5211,Av Moliere,0.32462,TR,22.37
2036,5210,Anillo Periférico/C Fracc de Cuernavaca,0.3794,TR,19.88
2037,14434,Boulevard Manuel Ávila Camacho,0.33081,TR,18.52
2038,5218,Calz Ignacio Zaragoza,0.01952,TR,13.05
2039,5220,Av Texcoco,0.29121,TR,19.2
2040,14434,Boulevard Manuel Ávila Camacho,0.02622,TR,11.18
2041,5210,Anillo Periférico/C Fracc de Cuernavaca,0.30261,TR,15.84
2042,5211,Av Moliere,0.37818,TR,23.67
2043,5212,C de Alfredo de Musset,0.33398,TR,22.8
2044,5213,C Arquimides,0.37374,TR,20.75
2045,5214,Calz Gral Mariano Escobedo,0.61124,TR,18.89
2046,5193,Av Oceania/C Oceania,0.00759,TR,27.34
2047,5192,C Pekín/C África,0.232,TR,23.92
2048,5191,C Asia/C de Carlos Marx,0.42846,TR,29.76
