NID,PC,DE,LE,TY,FF
148,427,G. G. Mahalkari Marg/Islampuri Masjid Kurar Marg/Daftary Road,0.05667,TR,20.0
149,428,Wadar Pada No. 2 Road,0.72544,TR,15.0
150,429,Akurli Road/Lokhandwala Road/Akurli Mhada Vasahat Road,0.79295,TR,16.0
151,441,Rusi Mehta Chowk/Islampur Cross Road,0.05812,TR,20.0
152,440,Lamington Road/Nagpada Marg/Late Madhavrao Sagale Chowk,0.19006,TR,22.0
153,440,Lamington Road/Nagpada Marg/Late Madhavrao Sagale Chowk,0.03149,TR,16.0
154,441,Rusi Mehta Chowk/Islampur Cross Road,0.16723,TR,22.0
155,448,Ambedkar Nagar Road,0.05201,TR,28.0
156,447,Bandra Kurla Complex Road/Prof. J. L. Shirsekar Marg,1.18835,TR,31.0
157,438,Shyam Narayan Thakur Marg/No. 1 Road,0.03049,TR,18.0
158,437,Barkya Chowk,0.46364,TR,13.0
159,436,Dr Baba Saheb Ambedkar Chowk/Lokhandwala Cross Road,0.64052,TR,15.0
160,435,Lokhandwala Road,0.54094,TR,22.0
161,434,Durga Mandir Road/Wadar Pada No. 2 Road,1.02125,TR,23.0
162,433,NH-8/Mumbai Ahmedabad Highway/Malad East/Kandivali East,0.34451,TR,23.0
163,432,Sathi Rasik Shah Chowk/Chakravarti Ashok Nagar Main Road,0.50838,TR,24.0
164,431,Pramod Tanna Road,0.24152,TR,22.0
165,431,Pramod Tanna Road,0.05217,TR,19.0
166,432,Sathi Rasik Shah Chowk/Chakravarti Ashok Nagar Main Road,0.19431,TR,19.0
167,433,NH-8/Mumbai Ahmedabad Highway/Malad East/Kandivali East,0.50594,TR,21.0
168,434,Durga Mandir Road/Wadar Pada No. 2 Road,0.33972,TR,20.0
169,435,Lokhandwala Road,1.04362,TR,23.0
170,436,Dr Baba Saheb Ambedkar Chowk/Lokhandwala Cross Road,0.51941,TR,23.0
171,437,Barkya Chowk,0.64052,TR,15.0
172,438,Shyam Narayan Thakur Marg/No. 1 Road,0.49414,TR,13.0
173,447,Bandra Kurla Complex Road/Prof. J. L. Shirsekar Marg,0.06475,TR,28.0
174,448,Ambedkar Nagar Road,1.1889,TR,36.0
175,452,Lal Bahadur Shastri Marg,0.01223,TR,12.0
176,451,Gavdevi Marg,0.42288,TR,19.0
177,450,S. M. T. Celine Dsilva Marg,0.21828,TR,19.0
178,450,S. M. T. Celine Dsilva Marg,0.03733,TR,17.0
179,451,Gavdevi Marg,0.18095,TR,20.0
180,452,Lal Bahadur Shastri Marg,0.43512,TR,19.0
181,456,Jagannath Shankar Sheth Road/Mahapalika Marg/Mahatma Gandhi Marg,0.06852,TR,29.0
182,455,Chandanmal Chand Chowk/Sir Vitthaldas Thackersey Marg,0.24718,TR,27.0
183,454,Vijay Vallabh Chowk/Maharshi Karve Marg,0.09618,TR,25.0
184,454,Vijay Vallabh Chowk/Maharshi Karve Marg,0.01284,TR,23.0
185,455,Chandanmal Chand Chowk/Sir Vitthaldas Thackersey Marg,0.08334,TR,22.0
186,456,Jagannath Shankar Sheth Road/Mahapalika Marg/Mahatma Gandhi Marg,0.31736,TR,23.0
187,459,Sane Guruji Road/Arthur Road,0.04121,TR,20.0
188,458,Dr Babasaheb Ambedkar Marg,0.109,TR,16.0
189,468,Agra Road/Lal Bahadur Shastri Marg,0.01673,TR,20.0
190,467,Jangleshwar Mahadev Mandir Road/Shri Balasaheb Thackeray Chowk,0.95079,TR,19.0
191,466,Nari Sewasadan Road/Netaji Palkar Marg,0.10788,TR,50.0
192,465,Lokmanya Tilak Nagar Marg,1.08539,TR,23.0
193,464,90 Feet Road/Shahid Bhagat Singh Chowk/Uma Maheshwari Mandir Marg,0.26808,TR,22.0
194,463,Pasalkar Marg/Saki Vihar Road/Andheri Kurla Road,0.2248,TR,24.0
195,462,Marol Maroshi Road,1.02377,TR,29.0
196,461,Airport Road/Sahar Airport Road,0.27909,TR,21.0
197,473,NH-3/Eastern Express Highway/Vasantrao Naik Maha Marg,0.30105,TR,38.0
198,472,Hemant Manjrekar Marg,0.40216,TR,27.0
199,471,Antop Hill,2.54726,TR,24.0
200,470,90 Feet Road/Imax Road,0.35916,TR,24.0
201,445,Sion Trombay Road/Vitthal Narayan Purav Marg,0.01799,TR,21.0
202,444,Swatantrya Sainik Wadavali Circle,0.25164,TR,31.0
203,443,Dr C. G. Gidwandi Road/Shahid Bhagat Singh Chowk,0.44208,TR,31.0
204,443,Dr C. G. Gidwandi Road/Shahid Bhagat Singh Chowk,0.07437,TR,28.0
205,444,Swatantrya Sainik Wadavali Circle,0.43037,TR,37.0
206,445,Sion Trombay Road/Vitthal Narayan Purav Marg,0.21102,TR,28.0
207,477,Lenin Grad Chowk/Rahimtullah Sayani Road,0.02579,TR,31.0
208,476,Maharishi Dhundiraj Vinod Chowk/New Prabhadevi Road,0.2619,TR,24.0
