city,scale,featurename,FI
capetown,040,#free turns,0.0011
capetown,040,#nodes,0.0026
capetown,040,#total crossings,0.0036
capetown,040,#traffic lights,0.0051
capetown,040,SPN-avg,0.0062
capetown,040,avg circuity,0.004
capetown,040,avg degree,0.0032
capetown,040,avg lanes,0.0025
capetown,040,local centrality,0.0027
capetown,050,#SPN-2,0.0026
capetown,050,#SPN-3,0.002
capetown,050,#SPN-4,0.002
capetown,050,#SPN-5,0.0001
capetown,050,#edges,0.0016
capetown,050,#free turns,0.0011
capetown,050,#nodes,0.0015
capetown,050,#total crossings,0.004
capetown,050,#traffic lights,0.0063
capetown,050,SPN-avg,0.0058
capetown,050,avg circuity,0.0041
capetown,050,avg degree,0.0026
capetown,050,avg lanes,0.0015
capetown,050,local centrality,0.0026
capetown,060,#SPN-2,0.002
capetown,060,#SPN-3,0.0028
capetown,060,#SPN-4,0.003
capetown,060,#SPN-5,0.0
capetown,060,#edges,0.0019
capetown,060,#free turns,0.0009
capetown,060,#nodes,0.0029
capetown,060,#total crossings,0.0033
capetown,060,#traffic lights,0.0032
capetown,060,SPN-avg,0.0051
capetown,060,avg circuity,0.005
capetown,060,avg degree,0.0026
capetown,060,avg lanes,0.0021
capetown,060,local centrality,0.0025
capetown,070,#SPN-2,0.0015
capetown,070,#SPN-3,0.0023
capetown,070,#SPN-4,0.0027
capetown,070,#SPN-5,0.0
capetown,070,#edges,0.0019
capetown,070,#free turns,0.0008
capetown,070,#nodes,0.0027
capetown,070,#total crossings,0.0021
capetown,070,#traffic lights,0.0038
capetown,070,SPN-avg,0.0059
capetown,070,avg circuity,0.0028
capetown,070,avg degree,0.0026
capetown,070,avg lanes,0.0015
capetown,070,local centrality,0.0019
capetown,080,#SPN-2,0.0018
capetown,080,#SPN-3,0.0029
capetown,080,#SPN-4,0.0021
capetown,080,#SPN-5,0.0
capetown,080,#edges,0.0017
capetown,080,#free turns,0.0008
capetown,080,#nodes,0.0027
capetown,080,#total crossings,0.0039
capetown,080,#traffic lights,0.0045
capetown,080,SPN-avg,0.005
capetown,080,avg circuity,0.0046
capetown,080,avg degree,0.0025
capetown,080,avg lanes,0.0021
capetown,080,local centrality,0.0028
capetown,090,#SPN-2,0.0019
capetown,090,#SPN-3,0.0026
capetown,090,#SPN-4,0.0027
capetown,090,#SPN-5,0.0
capetown,090,#edges,0.0021
capetown,090,#free turns,0.0017
capetown,090,#nodes,0.0031
capetown,090,#total crossings,0.0039
capetown,090,#traffic lights,0.0027
capetown,090,SPN-avg,0.0054
capetown,090,avg circuity,0.0036
capetown,090,avg degree,0.0026
capetown,090,avg lanes,0.0021
capetown,090,local centrality,0.0023
capetown,100,#SPN-2,0.0029
capetown,100,#SPN-3,0.0034
capetown,100,#SPN-4,0.003
capetown,100,#SPN-5,0.0001
capetown,100,#edges,0.0026
capetown,100,#free turns,0.0024
capetown,100,#nodes,0.003
capetown,100,#total crossings,0.005
capetown,100,#traffic lights,0.0037
capetown,100,SPN-avg,0.0062
capetown,100,avg circuity,0.0048
capetown,100,avg degree,0.0045
capetown,100,avg lanes,0.0038
capetown,100,local centrality,0.0027
istanbul,030,#SPN-2,0.0048
istanbul,030,#SPN-3,0.0053
istanbul,030,#SPN-4,0.0105
istanbul,030,#SPN-5,0.005
istanbul,030,#edges,0.0031
istanbul,030,#free turns,0.0048
istanbul,030,#nodes,0.0036
istanbul,030,#total crossings,0.0087
istanbul,030,#traffic lights,0.0043
istanbul,030,SPN-avg,0.0114
istanbul,030,avg circuity,0.0021
istanbul,030,avg degree,0.0061
istanbul,030,avg lanes,0.017
istanbul,030,local centrality,0.0038
istanbul,037,#SPN-2,0.0051
istanbul,037,#SPN-3,0.0086
istanbul,037,#SPN-4,0.0145
istanbul,037,#SPN-5,0.0065
istanbul,037,#edges,0.0033
istanbul,037,#free turns,0.004
istanbul,037,#nodes,0.0056
istanbul,037,#total crossings,0.0099
istanbul,037,#traffic lights,0.0042
istanbul,037,SPN-avg,0.0127
istanbul,037,avg circuity,0.0025
istanbul,037,avg degree,0.0063
istanbul,037,avg lanes,0.0091
istanbul,037,local centrality,0.0043
istanbul,045,#SPN-2,0.005
istanbul,045,#SPN-3,0.0066
istanbul,045,#SPN-4,0.0118
istanbul,045,#SPN-5,0.0072
istanbul,045,#edges,0.0031
istanbul,045,#free turns,0.0049
istanbul,045,#nodes,0.0069
istanbul,045,#total crossings,0.0088
istanbul,045,#traffic lights,0.0017
istanbul,045,SPN-avg,0.0157
istanbul,045,avg circuity,0.0045
istanbul,045,avg degree,0.0076
istanbul,045,avg lanes,0.0114
istanbul,045,local centrality,0.0029
istanbul,060,#SPN-2,0.0048
istanbul,060,#SPN-3,0.005
istanbul,060,#SPN-4,0.0133
istanbul,060,#SPN-5,0.0064
istanbul,060,#edges,0.0032
istanbul,060,#free turns,0.0026
istanbul,060,#nodes,0.0072
istanbul,060,#total crossings,0.0069
istanbul,060,#traffic lights,0.0025
istanbul,060,SPN-avg,0.0149
istanbul,060,avg circuity,0.0027
istanbul,060,avg degree,0.0069
istanbul,060,avg lanes,0.0158
istanbul,060,local centrality,0.0053
istanbul,075,#SPN-2,0.0041
istanbul,075,#SPN-3,0.0065
istanbul,075,#SPN-4,0.0127
istanbul,075,#SPN-5,0.0045
istanbul,075,#edges,0.0027
istanbul,075,#free turns,0.0029
istanbul,075,#nodes,0.007
istanbul,075,#total crossings,0.009
istanbul,075,#traffic lights,0.0029
istanbul,075,SPN-avg,0.0165
istanbul,075,avg circuity,0.0031
istanbul,075,avg degree,0.0096
istanbul,075,avg lanes,0.0109
istanbul,075,local centrality,0.0054
istanbul,090,#SPN-2,0.0038
istanbul,090,#SPN-3,0.0066
istanbul,090,#SPN-4,0.0122
istanbul,090,#SPN-5,0.0021
istanbul,090,#edges,0.0032
istanbul,090,#free turns,0.0029
istanbul,090,#nodes,0.0075
istanbul,090,#total crossings,0.0099
istanbul,090,#traffic lights,0.0027
istanbul,090,SPN-avg,0.0145
istanbul,090,avg circuity,0.0038
istanbul,090,avg degree,0.0087
istanbul,090,avg lanes,0.0164
istanbul,090,local centrality,0.0056
istanbul,105,#SPN-2,0.0048
istanbul,105,#SPN-3,0.0097
istanbul,105,#SPN-4,0.0103
istanbul,105,#SPN-5,0.0016
istanbul,105,#edges,0.0025
istanbul,105,#free turns,0.002
istanbul,105,#nodes,0.0068
istanbul,105,#total crossings,0.0083
istanbul,105,#traffic lights,0.0024
istanbul,105,SPN-avg,0.018
istanbul,105,avg circuity,0.0025
istanbul,105,avg degree,0.009
istanbul,105,avg lanes,0.0138
istanbul,105,local centrality,0.0063
istanbul,120,#SPN-2,0.0031
istanbul,120,#SPN-3,0.009
istanbul,120,#SPN-4,0.0108
istanbul,120,#SPN-5,0.0014
istanbul,120,#edges,0.0027
istanbul,120,#free turns,0.0021
istanbul,120,#nodes,0.007
istanbul,120,#total crossings,0.0075
istanbul,120,#traffic lights,0.0037
istanbul,120,SPN-avg,0.0154
istanbul,120,avg circuity,0.0027
istanbul,120,avg degree,0.0086
istanbul,120,avg lanes,0.0139
istanbul,120,local centrality,0.0099
istanbul,135,#SPN-2,0.0024
istanbul,135,#SPN-3,0.0081
istanbul,135,#SPN-4,0.0084
istanbul,135,#SPN-5,0.0024
istanbul,135,#edges,0.0028
istanbul,135,#free turns,0.0023
istanbul,135,#nodes,0.0087
istanbul,135,#total crossings,0.0081
istanbul,135,#traffic lights,0.0024
istanbul,135,SPN-avg,0.0139
istanbul,135,avg circuity,0.004
istanbul,135,avg degree,0.0085
istanbul,135,avg lanes,0.0124
istanbul,135,local centrality,0.0089
istanbul,150,#SPN-2,0.0024
istanbul,150,#SPN-3,0.0082
istanbul,150,#SPN-4,0.0087
istanbul,150,#SPN-5,0.0008
istanbul,150,#edges,0.0043
istanbul,150,#free turns,0.0024
istanbul,150,#nodes,0.008
istanbul,150,#total crossings,0.0069
istanbul,150,#traffic lights,0.0027
istanbul,150,SPN-avg,0.0138
istanbul,150,avg circuity,0.003
istanbul,150,avg degree,0.0087
istanbul,150,avg lanes,0.0124
istanbul,150,local centrality,0.0094
mexicocity,020,#SPN-2,0.0049
mexicocity,020,#SPN-3,0.0094
mexicocity,020,#SPN-4,0.0098
mexicocity,020,#SPN-5,0.0032
mexicocity,020,#edges,0.0056
mexicocity,020,#free turns,0.0015
mexicocity,020,#nodes,0.0071
mexicocity,020,#total crossings,0.023
mexicocity,020,#traffic lights,0.0186
mexicocity,020,SPN-avg,0.009
mexicocity,020,avg circuity,0.0075
mexicocity,020,avg degree,0.0061
mexicocity,020,avg lanes,0.0076
mexicocity,020,local centrality,0.0043
mexicocity,025,#SPN-2,0.006
mexicocity,025,#SPN-3,0.0081
mexicocity,025,#SPN-4,0.0113
mexicocity,025,#SPN-5,0.0049
mexicocity,025,#edges,0.006
mexicocity,025,#free turns,0.0012
mexicocity,025,#nodes,0.0048
mexicocity,025,#total crossings,0.021
mexicocity,025,#traffic lights,0.0194
mexicocity,025,SPN-avg,0.0082
mexicocity,025,avg circuity,0.0073
mexicocity,025,avg degree,0.0058
mexicocity,025,avg lanes,0.0081
mexicocity,025,local centrality,0.0045
mexicocity,030,#SPN-2,0.0077
mexicocity,030,#SPN-3,0.0063
mexicocity,030,#SPN-4,0.0088
mexicocity,030,#SPN-5,0.002
mexicocity,030,#edges,0.0048
mexicocity,030,#free turns,0.0017
mexicocity,030,#nodes,0.0052
mexicocity,030,#total crossings,0.0205
mexicocity,030,#traffic lights,0.0204
mexicocity,030,SPN-avg,0.0104
mexicocity,030,avg circuity,0.0077
mexicocity,030,avg degree,0.0069
