city,scale,featurename,FI
bogota,100,#SPN-3,0.0575
bogota,100,#SPN-4,0.0684
bogota,100,#SPN-5,0.0014
bogota,100,#edges,0.0512
bogota,100,#free turns,0.0429
bogota,100,#nodes,0.0814
bogota,100,#total crossings,0.1515
bogota,100,#traffic lights,0.1247
bogota,100,SPN-avg,0.0395
bogota,100,avg circuity,0.0517
bogota,100,avg degree,0.0322
bogota,100,avg lanes,0.0499
bogota,100,local centrality,0.031
capetown,020,#SPN-2,0.0347
capetown,020,#SPN-3,0.0297
capetown,020,#SPN-4,0.0471
capetown,020,#SPN-5,0.0016
capetown,020,#edges,0.0236
capetown,020,#free turns,0.0147
capetown,020,#nodes,0.0407
capetown,020,#total crossings,0.0504
capetown,020,#traffic lights,0.0266
capetown,020,SPN-avg,0.0295
capetown,020,avg circuity,0.0106
capetown,020,avg degree,0.0104
capetown,020,avg lanes,0.0107
capetown,020,local centrality,0.0128
capetown,025,#SPN-2,0.0193
capetown,025,#SPN-3,0.0199
capetown,025,#SPN-4,0.0675
capetown,025,#SPN-5,0.0004
capetown,025,#edges,0.0263
capetown,025,#free turns,0.0061
capetown,025,#nodes,0.0375
capetown,025,#total crossings,0.0411
capetown,025,#traffic lights,0.0326
capetown,025,SPN-avg,0.037
capetown,025,avg circuity,0.012
capetown,025,avg degree,0.0121
capetown,025,avg lanes,0.0124
capetown,025,local centrality,0.0079
capetown,030,#SPN-2,0.0188
capetown,030,#SPN-3,0.0321
capetown,030,#SPN-4,0.0707
capetown,030,#SPN-5,0.0006
capetown,030,#edges,0.0314
capetown,030,#free turns,0.0039
capetown,030,#nodes,0.0303
capetown,030,#total crossings,0.0309
capetown,030,#traffic lights,0.0517
capetown,030,SPN-avg,0.0373
capetown,030,avg circuity,0.0104
capetown,030,avg degree,0.0104
capetown,030,avg lanes,0.0117
capetown,030,local centrality,0.0142
capetown,040,#SPN-2,0.0333
capetown,040,#SPN-3,0.0338
capetown,040,#SPN-4,0.0568
