city,scale,featurename,FI
newyorkcity,050,local centrality,0.015
newyorkcity,100,#SPN-2,0.0114
newyorkcity,100,#SPN-3,0.012
newyorkcity,100,#SPN-4,0.0491
newyorkcity,100,#SPN-5,0.0015
newyorkcity,100,#edges,0.0118
newyorkcity,100,#free turns,0.0862
newyorkcity,100,#nodes,0.0105
newyorkcity,100,#total crossings,0.169
newyorkcity,100,#traffic lights,0.1318
newyorkcity,100,SPN-avg,0.0478
newyorkcity,100,avg circuity,0.0327
newyorkcity,100,avg degree,0.0113
newyorkcity,100,avg lanes,0.0184
newyorkcity,100,local centrality,0.0253
