model,city,seed,depth,tod,#datapoints,#datapoints-train-sample-mean,#datapoints-test-sample-mean,np.mean(lr_object.scores_MSE),np.std(lr_object.scores_MSE),np.mean(lr_object.scores_QWK),np.std(lr_object.scores_QWK),num_splits
linearregression,London,10,1,6,"(103, 16)",69.0,34.0,237.5390204330835,320.9125837743833,0.027550392661584974,0.2924817104427828,60
randomforestregressor,Bogota,70,1,6,"(441, 16)",116.21666666666667,58.166666666666664,6.467370796825521,1.6148747277363353,0.6906494577151014,0.07428550520565232,60
linearregression,Bogota,70,1,6,"(441, 16)",113.86666666666666,56.85,220.21270353927278,547.8355467060189,0.34263422808793514,0.34636325709786175,60
randomforestregressor,Istanbul,30,1,6,"(740, 16)",115.15,57.56666666666667,4.060217149691992,0.941378717246713,0.6316531637722479,0.08934250059546252,60
randomforestregressor,Bogota,90,1,6,"(626, 16)",114.73333333333333,57.36666666666667,6.346234929847272,1.6488919989448567,0.6719285725481049,0.10260233702602116,60
linearregression,MexicoCity,10,1,6,"(41, 16)",27.0,14.0,117777.33966986266,188900.5419177397,0.06744452033046161,0.2057012316820002,60
linearregression,Auckland,50,1,6,"(635, 16)",116.48333333333333,58.21666666666667,62.77622251037123,127.6090254917648,0.2826350353500667,0.35038978178913704,60
linearregression,Singapore,70,1,6,"(714, 16)",115.7,57.833333333333336,13.142658564307075,18.105920326524146,0.3694303122741588,0.2107058158515538,60
linearregression,Istanbul,30,1,6,"(740, 16)",114.95,57.45,1409.016383346559,2542.0518099044502,0.13331741784752046,0.2917637606257585,60
randomforestregressor,Bogota,50,1,6,"(265, 16)",116.46666666666667,58.2,6.7848801696344365,1.6378129002044133,0.6926486563549528,0.07138355997958075,60
linearregression,Mumbai,90,1,6,"(386, 16)",114.63333333333334,57.36666666666667,402.97554507515605,2248.8544944848263,0.09580981311600072,0.17681662122152797,60
randomforestregressor,Capetown,70,1,6,"(1144, 16)",114.61666666666666,57.31666666666667,3.5466717783002704,0.8859095611030926,0.41686084190857575,0.09387199893019398,60
randomforestregressor,Capetown,30,1,6,"(314, 16)",114.33333333333333,57.2,3.4236844987483206,0.9134335253506136,0.6475066048078165,0.08842217992276004,60
linearregression,MexicoCity,50,1,6,"(511, 16)",115.56666666666666,57.8,350.9795696920431,1093.256669437688,0.08299391394210484,0.23877487961009608,60
randomforestregressor,MexicoCity,10,1,6,"(41, 16)",27.0,14.0,6.523893684102642,2.4828850730040672,0.49245616530536324,0.13821279235704947,60
randomforestregressor,London,90,1,6,"(4027, 16)",115.8,57.88333333333333,4.663124437587015,1.7490235638680853,0.15895623045429894,0.1447807595669614,60
linearregression,Mumbai,30,1,6,"(72, 16)",48.0,24.0,265.2696739484396,665.345284198767,0.11993232868849941,0.24664146326871542,60
