model,city,seed,depth,tod,#datapoints,#datapoints-train-sample-mean,#datapoints-test-sample-mean,np.mean(lr_object.scores_MSE),np.std(lr_object.scores_MSE),np.mean(lr_object.scores_QWK),np.std(lr_object.scores_QWK),num_splits
ridge,NewYorkCity,10,1,6,"(56, 16)",37.0,19.0,10.504268872216109,5.326160863067773,0.6089284581420851,0.18610415600743818,2
ridge,London,90,1,6,"(4027, 16)",114.26666666666667,57.06666666666667,4.233426521946505,1.2296782298908144,0.18671876988964695,0.12378779727280265,60
ridge,Capetown,10,1,6,"(48, 16)",32.0,16.0,6.201712905577347,1.9013511157201908,0.6393887117291372,0.0932894209489954,2
ridge,Mumbai,105,1,6,"(505, 16)",113.0,56.5,6.709567014405741,0.7503940176124171,0.16404657068073383,0.044974105150936666,6
linearregression,Mumbai,50,1,6,"(153, 16)",102.0,51.0,25.065328970305018,15.992116974463954,0.00981867780133483,0.29379347344166196,2
linearregression,Auckland,50,1,6,"(635, 16)",113.625,56.75,73.76498107886013,91.33751506723952,0.20859878358996103,0.3783205074967406,8
linearregression,NewYorkCity,50,1,6,"(946, 16)",114.14285714285714,57.07142857142857,71.448979198041,81.54619266430757,0.11651383256812552,0.21426448065662063,14
linearregression,Zurich,90,1,6,"(364, 16)",121.75,61.0,16.749083694331446,13.337140212739508,-0.014295352967472919,0.2284687753369825,4
lasso,MexicoCity,90,1,6,"(1251, 16)",115.33333333333333,57.666666666666664,7.906679643208438,0.8601014747800619,0.003225719324393287,0.012891097698544489,18
ridge,Zurich,90,1,6,"(364, 16)",119.5,59.75,8.254648247215707,1.6221322086802938,0.30155043793780745,0.07846795038772034,4
linearregression,Bogota,90,1,6,"(626, 16)",111.375,55.75,110.89499444185775,166.26631106098534,0.40200463648390306,0.27708441354087804,8
lasso,NewYorkCity,10,1,6,"(56, 16)",37.0,19.0,9.045225823587547,1.526721937488301,0.2698276660798665,0.04889743352172704,2
lasso,Singapore,70,1,6,"(714, 16)",118.2,59.2,4.3837314771601115,0.8990938146293187,0.14152636320616177,0.07075933724308908,10
linearregression,Auckland,30,1,6,"(297, 16)",114.5,57.0,17.396894787746195,20.10903196141173,0.1304950506959725,0.27260031690519493,4
lasso,Zurich,70,1,6,"(247, 16)",110.0,54.5,11.027951314430835,0.8552173064416007,0.05437007450466952,0.009208182184057223,2
